"Unique identification number of the institution","Occupation and full- and part-time status","Full-time or part-time status","Occupation category","Identifies occupations consistent with previous codes","Grand total","Grand total men","Grand total women","American Indian or Alaska Native total","American Indian or Alaska Native men","American Indian or Alaska Native women","Asian total","Asian men","Asian women","Black or African American total","Black or African American men","Black or African American women","Hispanic or Latino total","Hispanic or Latino men","Hispanic or Latino women","Native Hawaiian or Other Pacific Islander total","Native Hawaiian or Other Pacific Islander men","Native Hawaiian or Other Pacific Islander women","White total","White men","White women","Two or more races total","Two or more races men","Two or more races women","Race/ethnicity unknown total","Race/ethnicity unknown men","Race/ethnicity unknown women","Nonresident alien total","Nonresident alien men","Nonresident alien women","FY","Fall","Institution_Name","Survey Code","Survey Title","FTPT_desc","OCCUPCAT_desc","SABDTYPE_desc","STAFFCAT_desc"
"179867","2340","2","340","-2"," 1420"," 246"," 1174","  2"," 0"," 2"," 100","  19","  81"," 137"," 26"," 111","  13","   3","  10"," 0"," 0"," 0"," 1164"," 196"," 968","  3"," 1","  2","  0","  0","  0","   1","  1","  0","2014","2013","Washington University in St Louis","s_oc","Staff by Occupational Category, Race/ethncity, and gender","Full-time","Healthcare Practioners and Technical","Not applicable, current occupation does not map to occupations prior to 2012","Full-time, Healthcare Practioners and Technical"
"179867","2350","2","350","-2"," 1147"," 376","  771","  2"," 0"," 2","  27","   9","  18"," 429","177"," 252","  20","   9","  11"," 5"," 3"," 2","  661"," 178"," 483","  2"," 0","  2","  0","  0","  0","   1","  0","  1","2014","2013","Washington University in St Louis","s_oc","Staff by Occupational Category, Race/ethncity, and gender","Full-time","Service Occupations","Not applicable, current occupation does not map to occupations prior to 2012","Full-time, Service"
"179867","2360","2","360","-2","    9","   3","    6","  0"," 0"," 0","   0","   0","   0","   0","  0","   0","   0","   0","   0"," 0"," 0"," 0","    9","   3","   6","  0"," 0","  0","  0","  0","  0","   0","  0","  0","2014","2013","Washington University in St Louis","s_oc","Staff by Occupational Category, Race/ethncity, and gender","Full-time","Sales and Related Occupations","Not applicable, current occupation does not map to occupations prior to 2012","Full-time, Sales and related"
"179867","2370","2","370","-2"," 2084"," 178"," 1906","  4"," 0"," 4","  18","   4","  14"," 432"," 44"," 388","  40","   6","  34"," 2"," 0"," 2"," 1583"," 124","1459","  4"," 0","  4","  0","  0","  0","   1","  0","  1","2014","2013","Washington University in St Louis","s_oc","Staff by Occupational Category, Race/ethncity, and gender","Full-time","Office and Administrative Support","Not applicable, current occupation does not map to occupations prior to 2012","Full-time, Office and Administrative Support"
"179867","2380","2","380","-2","  250"," 237","   13","  5"," 5"," 0","   2","   2","   0","  24"," 23","   1","   2","   2","   0"," 1"," 1"," 0","  216"," 204","  12","  0"," 0","  0","  0","  0","  0","   0","  0","  0","2014","2013","Washington University in St Louis","s_oc","Staff by Occupational Category, Race/ethncity, and gender","Full-time","Natural Resources, Construction, and Maintenance","Not applicable, current occupation does not map to occupations prior to 2012","Full-time, Natural Resources, Construction, and Maintenance"
"179867","2390","2","390","-2","   71","  41","   30","  0"," 0"," 0","   2","   1","   1","  20"," 14","   6","   1","   0","   1"," 0"," 0"," 0","   48","  26","  22","  0"," 0","  0","  0","  0","  0","   0","  0","  0","2014","2013","Washington University in St Louis","s_oc","Staff by Occupational Category, Race/ethncity, and gender","Full-time","Production, Transportation, and Material Moving","Not applicable, current occupation does not map to occupations prior to 2012","Full-time, Production, Transportation, and Material Moving"
"179867","3100","3","100","-2"," 1352"," 487","  865","  2"," 1"," 1","  73","  23","  50","  94"," 29","  65","  27","   9","  18"," 3"," 1"," 2"," 1146"," 421"," 725","  6"," 3","  3","  0","  0","  0","   1","  0","  1","2014","2013","Washington University in St Louis","s_oc","Staff by Occupational Category, Race/ethncity, and gender","Part-time","All staff","Not applicable, current occupation does not map to occupations prior to 2012","Part-time, total"
"179867","3200","3","200","70","  647"," 365","  282","  1"," 1"," 0","  29","  10","  19","  31"," 15","  16","  14","   7","   7"," 2"," 1"," 1","  568"," 329"," 239","  2"," 2","  0","  0","  0","  0","   0","  0","  0","2014","2013","Washington University in St Louis","s_oc","Staff by Occupational Category, Race/ethncity, and gender","Part-time","Instructional, research and public service staff","Part-time postecondary teachers (occupation code prior to 2012)","Part-time, Instructional, research and public service"
"179867","3210","3","210","-2","  533"," 338","  195","  1"," 1"," 0","  18","   9","   9","  28"," 14","  14","  11","   7","   4"," 1"," 1"," 0","  472"," 304"," 168","  2"," 2","  0","  0","  0","  0","   0","  0","  0","2014","2013","Washington University in St Louis","s_oc","Staff by Occupational Category, Race/ethncity, and gender","Part-time","Instructional staff, total","Not applicable, current occupation does not map to occupations prior to 2012","Part-time, Instructional staff"
"179867","3220","3","220","-2","   25","   6","   19","  0"," 0"," 0","   4","   1","   3","   1","  0","   1","   0","   0","   0"," 0"," 0"," 0","   20","   5","  15","  0"," 0","  0","  0","  0","  0","   0","  0","  0","2014","2013","Washington University in St Louis","s_oc","Staff by Occupational Category, Race/ethncity, and gender","Part-time","Research","Not applicable, current occupation does not map to occupations prior to 2012","Part-time, Research"
"179867","3230","3","230","-2","   89","  21","   68","  0"," 0"," 0","   7","   0","   7","   2","  1","   1","   3","   0","   3"," 1"," 0"," 1","   76","  20","  56","  0"," 0","  0","  0","  0","  0","   0","  0","  0","2014","2013","Washington University in St Louis","s_oc","Staff by Occupational Category, Race/ethncity, and gender","Part-time","Public service","Not applicable, current occupation does not map to occupations prior to 2012","Part-time, Public service"
"179867","3250","3","250","-2","   42","  10","   32","  0"," 0"," 0","   5","   1","   4","   1","  0","   1","   1","   0","   1"," 0"," 0"," 0","   35","   9","  26","  0"," 0","  0","  0","  0","  0","   0","  0","  0","2014","2013","Washington University in St Louis","s_oc","Staff by Occupational Category, Race/ethncity, and gender","Part-time","Librarians/Library Technicians/Archivists and Curators, and Museum technicians/Student and Academic Affairs and Other Eduation Services","Not applicable, current occupation does not map to occupations prior to 2012","Part-time, Librarians and Library Technicians/Archivists, Curators, and Museum Technicians/Student and Academic Affairs and Other Education Services"
"179867","3260","3","260","-2","    5","   3","    2","  0"," 0"," 0","   0","   0","   0","   1","  0","   1","   0","   0","   0"," 0"," 0"," 0","    4","   3","   1","  0"," 0","  0","  0","  0","  0","   0","  0","  0","2014","2013","Washington University in St Louis","s_oc","Staff by Occupational Category, Race/ethncity, and gender","Part-time","Librarians, Curators, and Archivists","Not applicable, current occupation does not map to occupations prior to 2012","Part-time, Librarians and Library Technicians/Archivists, Curators, and Museum Technicians"
"179867","3261","3","261","-2","    2","   2","    0","  0"," 0"," 0","   0","   0","   0","   0","  0","   0","   0","   0","   0"," 0"," 0"," 0","    2","   2","   0","  0"," 0","  0","  0","  0","  0","   0","  0","  0","2014","2013","Washington University in St Louis","s_oc","Staff by Occupational Category, Race/ethncity, and gender","Part-time","Archivists, Curators, and Museum Technicians","Not applicable, current occupation does not map to occupations prior to 2012","Part-time, Archivists, Curators, and Museum Technicians"
"179867","3262","3","262","-2","    3","   1","    2","  0"," 0"," 0","   0","   0","   0","   1","  0","   1","   0","   0","   0"," 0"," 0"," 0","    2","   1","   1","  0"," 0","  0","  0","  0","  0","   0","  0","  0","2014","2013","Washington University in St Louis","s_oc","Staff by Occupational Category, Race/ethncity, and gender","Part-time","Librarians","Not applicable, current occupation does not map to occupations prior to 2012","Part-time, Librarians"
"179867","3270","3","270","-2","   37","   7","   30","  0"," 0"," 0","   5","   1","   4","   0","  0","   0","   1","   0","   1"," 0"," 0"," 0","   31","   6","  25","  0"," 0","  0","  0","  0","  0","   0","  0","  0","2014","2013","Washington University in St Louis","s_oc","Staff by Occupational Category, Race/ethncity, and gender","Part-time","Student and Academic Affairs and Other Education Services","Not applicable, current occupation does not map to occupations prior to 2012","Part-time, Student and Academic Affairs and Other Education Services"
"179867","3300","3","300","-2","   15","   1","   14","  0"," 0"," 0","   1","   0","   1","   0","  0","   0","   0","   0","   0"," 0"," 0"," 0","   14","   1","  13","  0"," 0","  0","  0","  0","  0","   0","  0","  0","2014","2013","Washington University in St Louis","s_oc","Staff by Occupational Category, Race/ethncity, and gender","Part-time","Management","Not applicable, current occupation does not map to occupations prior to 2012","Part-time, Management"
"179867","3310","3","310","-2","   57","   8","   49","  0"," 0"," 0","   2","   0","   2","   4","  2","   2","   1","   0","   1"," 0"," 0"," 0","   50","   6","  44","  0"," 0","  0","  0","  0","  0","   0","  0","  0","2014","2013","Washington University in St Louis","s_oc","Staff by Occupational Category, Race/ethncity, and gender","Part-time","Business and Financial Operations","Not applicable, current occupation does not map to occupations prior to 2012","Part-time, Business and Financial Operations"
"179867","3320","3","320","-2","  113","  35","   78","  0"," 0"," 0","  17","   4","  13","   3","  1","   2","   2","   1","   1"," 0"," 0"," 0","   91","  29","  62","  0"," 0","  0","  0","  0","  0","   0","  0","  0","2014","2013","Washington University in St Louis","s_oc","Staff by Occupational Category, Race/ethncity, and gender","Part-time","Computer, Engineering, and Science","Not applicable, current occupation does not map to occupations prior to 2012","Part-time, Computer, Engineering, and Science"
"179867","3330","3","330","-2","   46","  12","   34","  0"," 0"," 0","   2","   0","   2","   6","  0","   6","   1","   1","   0"," 0"," 0"," 0","   36","  10","  26","  1"," 1","  0","  0","  0","  0","   0","  0","  0","2014","2013","Washington University in St Louis","s_oc","Staff by Occupational Category, Race/ethncity, and gender","Part-time","Community, Social Service, Legal, Arts,Design, Entertainment, Sports and Media","Not applicable, current occupation does not map to occupations prior to 2012","Part-time, Community Service, Legal, Arts, and Media"
"179867","3340","3","340","-2","  201","  18","  183","  1"," 0"," 1","   6","   3","   3","  10","  1","   9","   3","   0","   3"," 0"," 0"," 0","  179","  14"," 165","  2"," 0","  2","  0","  0","  0","   0","  0","  0","2014","2013","Washington University in St Louis","s_oc","Staff by Occupational Category, Race/ethncity, and gender","Part-time","Healthcare Practioners and Technical","Not applicable, current occupation does not map to occupations prior to 2012","Part-time, Healthcare Practioners and Technical"
"179867","3350","3","350","-2","   90","  22","   68","  0"," 0"," 0","   9","   3","   6","  20","  7","  13","   1","   0","   1"," 1"," 0"," 1","   59","  12","  47","  0"," 0","  0","  0","  0","  0","   0","  0","  0","2014","2013","Washington University in St Louis","s_oc","Staff by Occupational Category, Race/ethncity, and gender","Part-time","Service Occupations","Not applicable, current occupation does not map to occupations prior to 2012","Part-time, Service Occupations"
"179867","3370","3","370","-2","  134","  14","  120","  0"," 0"," 0","   2","   2","   0","  17","  3","  14","   4","   0","   4"," 0"," 0"," 0","  109","   9"," 100","  1"," 0","  1","  0","  0","  0","   1","  0","  1","2014","2013","Washington University in St Louis","s_oc","Staff by Occupational Category, Race/ethncity, and gender","Part-time","Office and Administrative Support","Not applicable, current occupation does not map to occupations prior to 2012","Part-time, Office and Administrative Support"
"179867","3380","3","380","-2","    4","   1","    3","  0"," 0"," 0","   0","   0","   0","   1","  0","   1","   0","   0","   0"," 0"," 0"," 0","    3","   1","   2","  0"," 0","  0","  0","  0","  0","   0","  0","  0","2014","2013","Washington University in St Louis","s_oc","Staff by Occupational Category, Race/ethncity, and gender","Part-time","Natural Resources, Construction, and Maintenance","Not applicable, current occupation does not map to occupations prior to 2012","Part-time, Natural Resources, Construction, and Maintenance"
"179867","3390","3","390","-2","    3","   1","    2","  0"," 0"," 0","   0","   0","   0","   1","  0","   1","   0","   0","   0"," 0"," 0"," 0","    2","   1","   1","  0"," 0","  0","  0","  0","  0","   0","  0","  0","2014","2013","Washington University in St Louis","s_oc","Staff by Occupational Category, Race/ethncity, and gender","Part-time","Production, Transportation, and Material Moving","Not applicable, current occupation does not map to occupations prior to 2012","Part-time, Production, Transportation, and Material Moving"
"179867","4400","4","400","-2"," 1406"," 683","  723","  3"," 1"," 2"," 209"," 112","  97","  54"," 18","  36","  35","  16","  19"," 1"," 0"," 1","  713"," 313"," 400"," 18"," 7"," 11","  0","  0","  0"," 373","216","157","2014","2013","Washington University in St Louis","s_oc","Staff by Occupational Category, Race/ethncity, and gender","Graduate Assistants","Graduate Assistants","Not applicable, current occupation does not map to occupations prior to 2012","Graduate Assistants, total"
"179867","4410","4","410","-2","  876"," 355","  521","  3"," 1"," 2","  96","  41","  55","  39","  9","  30","  21","   8","  13"," 1"," 0"," 1","  490"," 184"," 306"," 12"," 3","  9","  0","  0","  0"," 214","109","105","2014","2013","Washington University in St Louis","s_oc","Staff by Occupational Category, Race/ethncity, and gender","Graduate Assistants","Graduate Assistants Teaching","Not applicable, current occupation does not map to occupations prior to 2012","Grad Asst., Teaching"
"179867","4420","4","420","-2","  530"," 328","  202","  0"," 0"," 0"," 113","  71","  42","  15","  9","   6","  14","   8","   6"," 0"," 0"," 0","  223"," 129","  94","  6"," 4","  2","  0","  0","  0"," 159","107"," 52","2014","2013","Washington University in St Louis","s_oc","Staff by Occupational Category, Race/ethncity, and gender","Graduate Assistants","Graduate Assistants Research","Not applicable, current occupation does not map to occupations prior to 2012","Grad Asst., Research"
"182670","1100","1","100","-2"," 4502","2087"," 2415"," 15"," 8"," 7"," 166","  82","  84","  67"," 30","  37","  78","  37","  41"," 0"," 0"," 0"," 3977","1837","2140"," 48","16"," 32","  0","  0","  0"," 151"," 77"," 74","2014","2013","Dartmouth College","s_oc","Staff by Occupational Category, Race/ethncity, and gender","All staff","All staff","Not applicable, current occupation does not map to occupations prior to 2012","Grand Total"
"182670","1200","1","200","-2"," 1059"," 645","  414","  5"," 2"," 3","  70","  46","  24","  18"," 10","   8","  36","  15","  21"," 0"," 0"," 0","  886"," 550"," 336"," 16"," 8","  8","  0","  0","  0","  28"," 14"," 14","2014","2013","Dartmouth College","s_oc","Staff by Occupational Category, Race/ethncity, and gender","All staff","Instructional, research and public service staff","Not applicable, current occupation does not map to occupations prior to 2012","Instructional, research and public service"
"182670","1210","1","210","-2","  973"," 603","  370","  5"," 2"," 3","  58","  39","  19","  18"," 10","   8","  35","  14","  21"," 0"," 0"," 0","  822"," 519"," 303"," 14"," 8","  6","  0","  0","  0","  21"," 11"," 10","2014","2013","Dartmouth College","s_oc","Staff by Occupational Category, Race/ethncity, and gender","All staff","Instructional staff, total","Not applicable, current occupation does not map to occupations prior to 2012","Instructional staff"
"182670","1220","1","220","-2","   86","  42","   44","  0"," 0"," 0","  12","   7","   5","   0","  0","   0","   1","   1","   0"," 0"," 0"," 0","   64","  31","  33","  2"," 0","  2","  0","  0","  0","   7","  3","  4","2014","2013","Dartmouth College","s_oc","Staff by Occupational Category, Race/ethncity, and gender","All staff","Research","Not applicable, current occupation does not map to occupations prior to 2012","Research"
"182670","1250","1","250","-2","  411"," 117","  294","  3"," 1"," 2","  13","   1","  12","  14","  3","  11","   9","   7","   2"," 0"," 0"," 0","  362","  99"," 263","  6"," 3","  3","  0","  0","  0","   4","  3","  1","2014","2013","Dartmouth College","s_oc","Staff by Occupational Category, Race/ethncity, and gender","All staff","Librarians/Library Technicians/Archivists and Curators, and Museum technicians/Student and Academic Affairs and Other Eduation Services","Not applicable, current occupation does not map to occupations prior to 2012","Librarians and Library Technicians/Archivists, Curators, and Museum Technicians/Student and Academic Affairs and Other Education Services"
"182670","1260","1","260","-2","  154","  51","  103","  0"," 0"," 0","   8","   0","   8","   3","  0","   3","   2","   1","   1"," 0"," 0"," 0","  138","  47","  91","  2"," 2","  0","  0","  0","  0","   1","  1","  0","2014","2013","Dartmouth College","s_oc","Staff by Occupational Category, Race/ethncity, and gender","All staff","Librarians, Curators, and Archivists","Not applicable, current occupation does not map to occupations prior to 2012","Librarians and Library Technicians/Archivists, Curators, and Museum Technicians"
"182670","1261","1","261","-2","    8","   1","    7","  0"," 0"," 0","   0","   0","   0","   0","  0","   0","   0","   0","   0"," 0"," 0"," 0","    7","   0","   7","  0"," 0","  0","  0","  0","  0","   1","  1","  0","2014","2013","Dartmouth College","s_oc","Staff by Occupational Category, Race/ethncity, and gender","All staff","Archivists, Curators, and Museum Technicians","Not applicable, current occupation does not map to occupations prior to 2012","Archivists, Curators, and Museum Technicians"
"182670","1262","1","262","-2","   40","  15","   25","  0"," 0"," 0","   3","   0","   3","   2","  0","   2","   0","   0","   0"," 0"," 0"," 0","   34","  14","  20","  1"," 1","  0","  0","  0","  0","   0","  0","  0","2014","2013","Dartmouth College","s_oc","Staff by Occupational Category, Race/ethncity, and gender","All staff","Librarians","Not applicable, current occupation does not map to occupations prior to 2012","Librarians"
"182670","1263","1","263","-2","  106","  35","   71","  0"," 0"," 0","   5","   0","   5","   1","  0","   1","   2","   1","   1"," 0"," 0"," 0","   97","  33","  64","  1"," 1","  0","  0","  0","  0","   0","  0","  0","2014","2013","Dartmouth College","s_oc","Staff by Occupational Category, Race/ethncity, and gender","All staff","Library Technicians","Not applicable, current occupation does not map to occupations prior to 2012","Library Technicians"
"182670","1270","1","270","-2","  257","  66","  191","  3"," 1"," 2","   5","   1","   4","  11","  3","   8","   7","   6","   1"," 0"," 0"," 0","  224","  52"," 172","  4"," 1","  3","  0","  0","  0","   3","  2","  1","2014","2013","Dartmouth College","s_oc","Staff by Occupational Category, Race/ethncity, and gender","All staff","Student and Academic Affairs and Other Education Services","Not applicable, current occupation does not map to occupations prior to 2012","Student and Academic Affairs and Other Education Services"
"182670","1300","1","300","-2","  341"," 180","  161","  1"," 1"," 0","   3","   1","   2","  10","  5","   5","   3","   2","   1"," 0"," 0"," 0","  318"," 171"," 147","  3"," 0","  3","  0","  0","  0","   3","  0","  3","2014","2013","Dartmouth College","s_oc","Staff by Occupational Category, Race/ethncity, and gender","All staff","Management","Not applicable, current occupation does not map to occupations prior to 2012","Management"
"182670","1310","1","310","-2","  173","  33","  140","  0"," 0"," 0","   3","   1","   2","   1","  0","   1","   2","   1","   1"," 0"," 0"," 0","  162","  30"," 132","  4"," 0","  4","  0","  0","  0","   1","  1","  0","2014","2013","Dartmouth College","s_oc","Staff by Occupational Category, Race/ethncity, and gender","All staff","Business and Financial Operations","Not applicable, current occupation does not map to occupations prior to 2012","Business and Financial Operations"
"182670","1320","1","320","-2","  794"," 413","  381","  0"," 0"," 0","  47","  22","  25","   3","  1","   2","   8","   4","   4"," 0"," 0"," 0","  626"," 328"," 298","  3"," 1","  2","  0","  0","  0"," 107"," 57"," 50","2014","2013","Dartmouth College","s_oc","Staff by Occupational Category, Race/ethncity, and gender","All staff","Computer, Engineering, and Science","Not applicable, current occupation does not map to occupations prior to 2012","Computer, Engineering, and Science"
"182670","1330","1","330","-2","  363"," 183","  180","  0"," 0"," 0","   2","   1","   1","  10","  6","   4","   5","   2","   3"," 0"," 0"," 0","  341"," 173"," 168","  3"," 0","  3","  0","  0","  0","   2","  1","  1","2014","2013","Dartmouth College","s_oc","Staff by Occupational Category, Race/ethncity, and gender","All staff","Community, Social Service, Legal, Arts,Design, Entertainment, Sports and Media","Not applicable, current occupation does not map to occupations prior to 2012","Community Service, Legal, Arts, and Media"
"182670","1340","1","340","-2","  108","  19","   89","  0"," 0"," 0","   3","   0","   3","   1","  0","   1","   0","   0","   0"," 0"," 0"," 0","  102","  19","  83","  1"," 0","  1","  0","  0","  0","   1","  0","  1","2014","2013","Dartmouth College","s_oc","Staff by Occupational Category, Race/ethncity, and gender","All staff","Healthcare Practioners and Technical","Not applicable, current occupation does not map to occupations prior to 2012","Healthcare Practioners and Technical"
"182670","1350","1","350","-2","  474"," 291","  183","  2"," 2"," 0","  11","   6","   5","   5","  4","   1","   7","   5","   2"," 0"," 0"," 0","  440"," 271"," 169","  5"," 3","  2","  0","  0","  0","   4","  0","  4","2014","2013","Dartmouth College","s_oc","Staff by Occupational Category, Race/ethncity, and gender","All staff","Service Occupations","Not applicable, current occupation does not map to occupations prior to 2012","Service"
"182670","1360","1","360","-2","    6","   3","    3","  0"," 0"," 0","   0","   0","   0","   0","  0","   0","   0","   0","   0"," 0"," 0"," 0","    6","   3","   3","  0"," 0","  0","  0","  0","  0","   0","  0","  0","2014","2013","Dartmouth College","s_oc","Staff by Occupational Category, Race/ethncity, and gender","All staff","Sales and Related Occupations","Not applicable, current occupation does not map to occupations prior to 2012","Sales and related"
"182670","1370","1","370","-2","  644","  76","  568","  3"," 1"," 2","  14","   4","  10","   5","  1","   4","   7","   0","   7"," 0"," 0"," 0","  607","  68"," 539","  7"," 1","  6","  0","  0","  0","   1","  1","  0","2014","2013","Dartmouth College","s_oc","Staff by Occupational Category, Race/ethncity, and gender","All staff","Office and Administrative Support","Not applicable, current occupation does not map to occupations prior to 2012","Office and Administrative Support"
"182670","1380","1","380","-2","  109"," 108","    1","  1"," 1"," 0","   0","   0","   0","   0","  0","   0","   1","   1","   0"," 0"," 0"," 0","  107"," 106","   1","  0"," 0","  0","  0","  0","  0","   0","  0","  0","2014","2013","Dartmouth College","s_oc","Staff by Occupational Category, Race/ethncity, and gender","All staff","Natural Resources, Construction, and Maintenance","Not applicable, current occupation does not map to occupations prior to 2012","Natural Resources, Construction, and Maintenance"
"182670","1390","1","390","-2","   20","  19","    1","  0"," 0"," 0","   0","   0","   0","   0","  0","   0","   0","   0","   0"," 0"," 0"," 0","   20","  19","   1","  0"," 0","  0","  0","  0","  0","   0","  0","  0","2014","2013","Dartmouth College","s_oc","Staff by Occupational Category, Race/ethncity, and gender","All staff","Production, Transportation, and Material Moving","Not applicable, current occupation does not map to occupations prior to 2012","Production, Transportation, and Material Moving"
"182670","2100","2","100","10"," 3928","1867"," 2061"," 15"," 8"," 7"," 148","  76","  72","  62"," 27","  35","  69","  34","  35"," 0"," 0"," 0"," 3450","1634","1816"," 44","15"," 29","  0","  0","  0"," 140"," 73"," 67","2014","2013","Dartmouth College","s_oc","Staff by Occupational Category, Race/ethncity, and gender","Full-time","All staff","Full-time (occupation code prior to 2012)","Full-time total"
"182670","2200","2","200","11","  836"," 516","  320","  5"," 2"," 3","  64","  43","  21","  18"," 10","   8","  31","  13","  18"," 0"," 0"," 0","  682"," 430"," 252"," 13"," 7","  6","  0","  0","  0","  23"," 11"," 12","2014","2013","Dartmouth College","s_oc","Staff by Occupational Category, Race/ethncity, and gender","Full-time","Instructional, research and public service staff","Full-time postecondary teachers (occupation code prior to 2012)","Full-time, Instructional, research and public service"
"182670","2210","2","210","-2","  772"," 487","  285","  5"," 2"," 3","  53","  36","  17","  18"," 10","   8","  31","  13","  18"," 0"," 0"," 0","  636"," 410"," 226"," 12"," 7","  5","  0","  0","  0","  17","  9","  8","2014","2013","Dartmouth College","s_oc","Staff by Occupational Category, Race/ethncity, and gender","Full-time","Instructional staff, total","Not applicable, current occupation does not map to occupations prior to 2012","Full-time, Instructional staff"
"182670","2220","2","220","-2","   64","  29","   35","  0"," 0"," 0","  11","   7","   4","   0","  0","   0","   0","   0","   0"," 0"," 0"," 0","   46","  20","  26","  1"," 0","  1","  0","  0","  0","   6","  2","  4","2014","2013","Dartmouth College","s_oc","Staff by Occupational Category, Race/ethncity, and gender","Full-time","Research","Not applicable, current occupation does not map to occupations prior to 2012","Full-time, Research"
"182670","2250","2","250","-2","  372"," 111","  261","  3"," 1"," 2","  12","   1","  11","  13","  3","  10","   8","   7","   1"," 0"," 0"," 0","  326","  93"," 233","  6"," 3","  3","  0","  0","  0","   4","  3","  1","2014","2013","Dartmouth College","s_oc","Staff by Occupational Category, Race/ethncity, and gender","Full-time","Librarians/Library Technicians/Archivists and Curators, and Museum technicians/Student and Academic Affairs and Other Eduation Services","Not applicable, current occupation does not map to occupations prior to 2012","Full-time, Librarians and Library Technicians/Archivists, Curators, and Museum Technicians/Student and Academic Affairs and Other Education Services"
"182670","2260","2","260","-2","  139","  49","   90","  0"," 0"," 0","   8","   0","   8","   3","  0","   3","   2","   1","   1"," 0"," 0"," 0","  123","  45","  78","  2"," 2","  0","  0","  0","  0","   1","  1","  0","2014","2013","Dartmouth College","s_oc","Staff by Occupational Category, Race/ethncity, and gender","Full-time","Librarians, Curators, and Archivists","Not applicable, current occupation does not map to occupations prior to 2012","Full-time, Librarians and Library Technicians/Archivists, Curators, and Museum Technicians"
"182670","2261","2","261","-2","    7","   1","    6","  0"," 0"," 0","   0","   0","   0","   0","  0","   0","   0","   0","   0"," 0"," 0"," 0","    6","   0","   6","  0"," 0","  0","  0","  0","  0","   1","  1","  0","2014","2013","Dartmouth College","s_oc","Staff by Occupational Category, Race/ethncity, and gender","Full-time","Archivists, Curators, and Museum Technicians","Not applicable, current occupation does not map to occupations prior to 2012","Full-time, Archivists, Curators, and Museum Technicians"
"182670","2262","2","262","-2","   38","  15","   23","  0"," 0"," 0","   3","   0","   3","   2","  0","   2","   0","   0","   0"," 0"," 0"," 0","   32","  14","  18","  1"," 1","  0","  0","  0","  0","   0","  0","  0","2014","2013","Dartmouth College","s_oc","Staff by Occupational Category, Race/ethncity, and gender","Full-time","Librarians","Not applicable, current occupation does not map to occupations prior to 2012","Full-time, Librarians"
"182670","2263","2","263","-2","   94","  33","   61","  0"," 0"," 0","   5","   0","   5","   1","  0","   1","   2","   1","   1"," 0"," 0"," 0","   85","  31","  54","  1"," 1","  0","  0","  0","  0","   0","  0","  0","2014","2013","Dartmouth College","s_oc","Staff by Occupational Category, Race/ethncity, and gender","Full-time","Library Technicians","Not applicable, current occupation does not map to occupations prior to 2012","Full-time, Library Technicians"
"182670","2270","2","270","-2","  233","  62","  171","  3"," 1"," 2","   4","   1","   3","  10","  3","   7","   6","   6","   0"," 0"," 0"," 0","  203","  48"," 155","  4"," 1","  3","  0","  0","  0","   3","  2","  1","2014","2013","Dartmouth College","s_oc","Staff by Occupational Category, Race/ethncity, and gender","Full-time","Student and Academic Affairs and Other Education Services","Not applicable, current occupation does not map to occupations prior to 2012","Full-time, Student and Academic Affairs and Other Education Services"
"182670","2300","2","300","-2","  326"," 174","  152","  1"," 1"," 0","   3","   1","   2","  10","  5","   5","   3","   2","   1"," 0"," 0"," 0","  303"," 165"," 138","  3"," 0","  3","  0","  0","  0","   3","  0","  3","2014","2013","Dartmouth College","s_oc","Staff by Occupational Category, Race/ethncity, and gender","Full-time","Management","Not applicable, current occupation does not map to occupations prior to 2012","Full-time, Management"
"182670","2310","2","310","-2","  168","  32","  136","  0"," 0"," 0","   3","   1","   2","   1","  0","   1","   2","   1","   1"," 0"," 0"," 0","  157","  29"," 128","  4"," 0","  4","  0","  0","  0","   1","  1","  0","2014","2013","Dartmouth College","s_oc","Staff by Occupational Category, Race/ethncity, and gender","Full-time","Business and Financial Operations","Not applicable, current occupation does not map to occupations prior to 2012","Full-time, Business and Financial Operations"
"182670","2320","2","320","-2","  718"," 393","  325","  0"," 0"," 0","  43","  21","  22","   3","  1","   2","   8","   4","   4"," 0"," 0"," 0","  559"," 310"," 249","  2"," 1","  1","  0","  0","  0"," 103"," 56"," 47","2014","2013","Dartmouth College","s_oc","Staff by Occupational Category, Race/ethncity, and gender","Full-time","Computer, Engineering, and Science","Not applicable, current occupation does not map to occupations prior to 2012","Full-time, Computer, Engineering, and Science"
"182670","2330","2","330","-2","  316"," 158","  158","  0"," 0"," 0","   2","   1","   1","   9","  5","   4","   5","   2","   3"," 0"," 0"," 0","  296"," 149"," 147","  3"," 0","  3","  0","  0","  0","   1","  1","  0","2014","2013","Dartmouth College","s_oc","Staff by Occupational Category, Race/ethncity, and gender","Full-time","Community, Social Service, Legal, Arts,Design, Entertainment, Sports and Media","Not applicable, current occupation does not map to occupations prior to 2012","Full-time, Community Service, Legal, Arts, and Media"
"182670","2340","2","340","-2","   86","  16","   70","  0"," 0"," 0","   2","   0","   2","   1","  0","   1","   0","   0","   0"," 0"," 0"," 0","   81","  16","  65","  1"," 0","  1","  0","  0","  0","   1","  0","  1","2014","2013","Dartmouth College","s_oc","Staff by Occupational Category, Race/ethncity, and gender","Full-time","Healthcare Practioners and Technical","Not applicable, current occupation does not map to occupations prior to 2012","Full-time, Healthcare Practioners and Technical"
